timestamp,raw_ch1,raw_ch2,raw_ch3,raw_ch4,raw_ch5,raw_ch6,raw_ch7,raw_ch8,attention_score
1778599265.531868,-52069.77451679403,-69876.62701328124,20018.691720806568,-28997.29806152559,-34051.519221248534,-19246.10367370888,6028.734866229876,-15958.922023644689,0.5
1778599265.5318727,-52878.05829978685,-70009.03874743448,19773.269566687297,-29274.88437591605,-34233.95415949275,-19473.42091481935,6016.530813757278,-14626.713350619479,0.5
1778599265.5318775,-55938.01211571838,-70165.12097896588,19949.781292650856,-28992.246567278693,-33405.86673091254,-19892.918454756553,6208.398188161635,-12655.490655361493,0.5
1778599265.5318825,-57042.43416099956,-70118.4952400321,20338.031093839538,-28500.955224151043,-32653.41760556908,-19906.105983985184,6340.407590914678,-13140.188233874827,0.5
1778599265.5318873,-54450.995260595715,-69914.37910966625,20377.817198969984,-28512.82400045681,-33098.2620237186,-19479.7464585002,6214.209641720015,-15212.262000115157,0.5
1778599265.5318923,-51970.35395745683,-69859.72909447302,20018.848183017755,-28987.552700943077,-34048.099404346875,-19239.532260839016,6031.059447653228,-15961.090142856854,0.5
1778599265.5318968,-52793.74751970143,-69994.30894783842,19781.49500864685,-29249.850422126106,-34221.5265895756,-19467.207129860777,6043.107037914639,-14308.379806086996,0.5
1778599265.531902,-55850.080353031204,-70155.82265327248,19951.971763607475,-28972.800549602576,-33404.83855066759,-19886.570559331245,6212.108577741215,-12586.11084057222,0.5
1778599265.5319068,-56981.39154689212,-70105.15124859229,20340.17686130725,-28496.127247348697,-32655.36220733669,-19904.317844428762,6343.6485938606975,-13350.339335243623,0.5
1778599265.5319114,-54386.24225690869,-69900.52102810396,20386.534379307555,-28511.03586090039,-33091.06476200399,-19474.873778208945,6224.08911276926,-15490.094183694624,0.5
1778599265.5319164,-51911.054779416896,-69846.74273094449,20033.645037847167,-28991.464256222756,-34035.31420651844,-19233.85491774737,6051.153665918549,-16387.58377880857,0.5
1778599265.5319214,-52698.2385156439,-69973.41006677272,19798.415279199515,-29283.08746613115,-34218.21853139622,-19452.879661664923,6054.707593286943,-15113.154365200326,0.5
1778599265.531926,-55753.90079664002,-70123.27851334555,19980.961976166007,-29017.88401816893,-33391.24869003877,-19869.02443993383,6242.484598455978,-13163.009364963695,0.5
1778599265.5319307,-56919.276049050815,-70071.31070748696,20375.045582657527,-28533.02997744441,-32621.275797042348,-19889.83391402172,6380.998358845515,-13407.783318493763,0.5
1778599265.5319357,-54363.264663608636,-69871.17318763414,20422.587743113967,-28540.74132928149,-33047.79178473852,-19465.664859493358,6263.76345917743,-15469.731744495839,0.5
1778599265.5319405,-51877.30364528938,-69819.13832654219,20072.000631332474,-29010.619701220956,-33988.28613618447,-19222.23201063061,6089.352797192669,-16175.890407072355,0.5
1778599265.5319452,-52651.14339007657,-69950.14190079474,19826.131442324095,-29294.106876147616,-34185.272060069095,-19444.207184816263,6085.418890168535,-14691.421650817592,0.5
1778599265.53195,-55720.41788344597,-70106.40294628179,19992.58488328277,-29029.194000863317,-33372.65203865195,-19864.241166620395,6262.511761487933,-12855.605823469858,0.5
